session_id,query_text,search_time,total_results
search_7f83e3ec8fb245a2a0018807cd231636,"(studies) AND (baseline) AND (""supervised constituency parsers"") AND (""few-shot learning"") AND (""pre-training"") AND (""data augmentation"") AND (""parser performance improvement"")",2025-05-22T21:56:59,4
search_80fc976419ca4b6091d4dd53bebff58c,"(studies) AND (""hierarchical modeling of user interests"") AND (""tailoring news recommendation systems"")",2025-05-22T21:57:42,12
search_816cf778da9e480d85bbe94b647d202e,"(research) AND (""prompt tuning efficacy"") AND (""language model training"") AND (""scaling"")",2025-05-22T21:57:51,6
search_817d2a7ac9a7431ca302fc25aa54e804,"(approaches) AND (""limitations of beam search"") AND (""neural machine translation"") AND (""full target context"")",2025-05-22T21:57:09,12
search_81873533973d49c2a6bf354e97e97ffd,"(study) AND (""evaluates cross-encoder BERT rankers"")",2025-05-22T21:57:45,12
search_831a1d8f5497478f826c466a4726541c,"(research papers) AND (radiology report summarization) AND (""graph neural networks"") AND (""biomedical entity extraction"")",2025-05-22T21:57:20,5
search_83dc8accfd6448ffa9f786c317e52f0d,"(recent developments) AND (""evaluating the flow"" OR ""'streaming degree'"") AND (""simultaneous machine translation"") AND (metric)",2025-05-22T21:57:12,9
search_84063249e05c418ba63b9fd833426273,"(paper) AND (""fine-tuning mBERT"") AND (""enhance word-level alignment"") AND (""multilingual setting"")",2025-05-22T21:58:15,12
search_86a5c04359f549408a89cec7fcbddf1f,"(research) AND (""Transformer decoders"") AND (""extract interactive shared representations"") AND (CNN networks) AND (""clinical notes"")",2025-05-22T21:58:16,0
search_8844569debfc4926a22211c0bdad6560,"(efficient transformer architectures) AND (""language embeddings"") AND (XLM-R) AND (""multilingual representation learning"")",2025-05-22T21:57:03,2
search_88fa0859c70f4cef952d48c22825cd8d,(studies) AND ((question answering) OR (passage retrieval)) AND (mitigating clickbait headlines),2025-05-22T21:56:51,3
search_89737880efe640ee92c46bac78e5e848,"(study) AND (""initializes embeddings"") AND (""multilingual transformer"") AND (""subwords common"") AND (""original vocabulary"") AND (""original embeddings"")",2025-05-22T21:57:27,0
search_8becdd231a9d49598776a528796001dc,"(research) AND (""efficient finetuning methods"") AND (""trains very very few parameters"") AND (""language models"")",2025-05-22T21:57:58,12
search_8c051832432d4bbc8cd3640ba8509e66,"(study) AND (""representing entities in knowledge graphs"") AND (""intricate geometric shapes"") AND (""probabilistic analysis"") AND (""uncertainty modeling"")",2025-05-22T21:57:30,0
search_8c7e5f60faf14315b2cc032e7ed778e8,"(research) AND (""influence of cognitive biases"") AND (""human interpretation of AI-generated explanations"") AND (""explainable natural language processing"")",2025-05-22T21:57:41,12
search_8cec4b6a41664ab6ab73e357a776d516,"(research) AND (""enhance question answering systems"") AND (""domain adaptation"") AND (""synthetic data generation"")",2025-05-22T21:57:03,12
search_8d1314974e46476698c02f83d0b755c0,"(study) AND (""subset with clean, annotated datasets"") AND (""improve denoising methods"")",2025-05-22T21:57:29,12
search_8d218c3709054252ae8554a290e241b1,"(corpus) AND (""French encyclopedia documents"" AND ""semantic annotations"") AND (""question/answer triplets"" AND ""FrameNet semantic analysis"")",2025-05-22T21:56:55,0
search_8d7eb777d3f744c987129aae8bdd4222,(studies) AND (post-hoc techniques) AND (hallucination detection) AND ((token-level) OR (sentence-level)) AND (neural sequence generation),2025-05-22T21:56:50,0
search_8ddf06a07d9b400b84d9348ce0ae727f,"(research papers) AND (""dedicated pre-training architecture"") AND (""improve dense retrieval system efficacy"")",2025-05-22T21:58:08,12
search_8efddb0ccf674241933af7a87dfd8d6c,"(research papers) AND (""create conversational agents"") AND (""inner states represented by a knowledge graph"") AND (""continually updated"") AND (""based on the agent’s environment"")",2025-05-22T21:58:10,7
search_8f19c26bacea4e77b793825860c9fc10,"(work) AND (""text classification"") AND (BERT) AND (GNN) AND (""label hierarchy"")",2025-05-22T21:58:18,0
search_8f5ddaca04ac466780eb8bec53139550,"(""SQL-to-text"") AND (""improve text-to-SQL parsing"") AND (""data augmentation techniques"")",2025-05-22T21:58:12,12
search_9070b7125314472bb6dc24bd5a290c1a,"(study) AND (""improving multi-label text classification"") AND (""label distribution"") AND (""loss function"")",2025-05-22T21:57:26,7
search_9101c8b7bbf343468f63e0d1da890c08,"(study) AND (""high-parameter efficeint fine-tuning"") AND (""trains the bias terms"")",2025-05-22T21:57:49,12
search_91088695f2ff4b5f913dc6ee560ded2f,"(studies) AND (""question answering systems"") AND (""queries that cannot be directly recalled"") AND (""training data"")",2025-05-22T21:57:21,3
search_91f622fee51049d785b7e25af7ff9153,"(research) AND (""relaxed l0 regularization"") AND (""structured pruning"") AND (""downsize language models"") AND (""transformer architectures"")",2025-05-22T21:57:34,0
search_92752d7253aa4abd910dd73263bcbbb5,"(research) AND (""topic conditioning"" AND ""transformer language models"") AND (""frame conditioning"" AND ""transformer language models"") AND (""argument claims"")",2025-05-22T21:57:01,2
search_92f0d34767564b4083268afc819c38da,"(research) AND (""other off-the-shelf summarization techniques"") AND (""improve neural abstractive summarization"")",2025-05-22T21:58:03,12
search_93a0dd8f4fff41cb8f1c0c4cb9c192d2,"(research) AND (""undetectable backdoor attacks"") AND (""NLP models"")",2025-05-22T21:58:01,7
search_94040b260669452a85b08fc65d0ddee8,"(research) AND (""optimized continuous prompts"") AND (""discrete prompts"") AND (""relational tasks"")",2025-05-22T21:57:36,11
search_9482466db7b648a5aad018308f622e7f,"(study) AND (""incorporating external commonsense knowledge"") AND (""conversational agents"") AND (""interpret user emotions"") AND (""refine their response formulation"")",2025-05-22T21:57:24,0
search_948b98f1779a47f4a5e789544eef247a,"(research) AND (""structured pruning techniques"") AND (""small and precise models"") AND (""natural language processing"")",2025-05-22T21:57:53,4
search_94ae342c946e4260aa6a72a594f71567,"(research papers) AND (""Transformer-based architectures"") AND (""completing knowledge graphs"")",2025-05-22T21:57:33,12
search_94b4d3a425e34e3993b6585264d49453,"(research) AND (""annotator's individual attributes"") AND (gender OR ethnicity OR ""political views"") AND (""judgment of content deemed offensive"")",2025-05-22T21:57:35,1
search_94cb80c532f143509e814a8b99e7fb08,"(research) AND (""multiple input sources"") AND (""clinical text processing"") AND (""recurrent modules"") AND (""single source of information"")",2025-05-22T21:57:22,5
search_962ab8779aef40758a6a0c644294573c,(large-scale multilingual Amazon customer review data),2025-05-22T21:56:59,12
search_973deaf6d3c149d3a7aaa548d0239f7b,"(dataset annotated) AND (""patronizing language"") AND (""condescending language"") AND (""computational linguistics research"")",2025-05-22T21:57:17,12
search_97e44a093fe0495898e4eec4d9879339,"(researching metrics) AND (""human-interaction"" AND ""computer-assisted translation tools"") AND (""keystroke ratio"") AND (""mouse action ratio"") AND (""user effort"") OR (""user engagement"")",2025-05-22T21:57:06,12
search_97ee12e1881e43bf89f7fa78ca39a129,"(research) AND (""transparency and open-access"") AND (""training data of LLMs"") AND (""importance with case studies"") AND (""existing data"")",2025-05-22T21:58:17,0
search_986a63f182d94086870279e10cb2db15,"(research) AND (""trains language models"") AND (""mental health-related social media data"") AND (""identifying mental health issues"")",2025-05-22T21:58:02,12
search_9894594c517a46fdbde40521d328d579,(literature) AND (evaluates context-aware machine translation) AND (discourse phenomena) AND (deixis) AND (lexical cohesion),2025-05-22T21:56:57,0
